Date,Open,High,Low,Close,Adj Close,Volume
2023-07-06,3844.000000,3850.000000,3810.000000,3815.899902,3815.899902,247801
2023-07-07,3818.000000,3844.000000,3800.000000,3808.949951,3808.949951,206827
2023-07-10,3810.000000,3834.250000,3757.000000,3767.699951,3767.699951,180959
2023-07-11,3786.949951,3838.000000,3772.050049,3827.100098,3827.100098,175289
2023-07-12,3847.100098,3850.000000,3790.000000,3806.350098,3806.350098,362068
2023-07-13,3823.000000,3828.000000,3795.000000,3821.649902,3821.649902,250708
2023-07-14,3840.800049,3881.850098,3782.000000,3838.750000,3838.750000,369703
2023-07-17,3796.850098,3823.350098,3700.000000,3713.550049,3713.550049,1045261
2023-07-18,3700.000000,3711.949951,3672.000000,3676.500000,3676.500000,499878
2023-07-19,3689.949951,3720.000000,3678.550049,3705.850098,3705.850098,277417
2023-07-20,3705.850098,3713.350098,3668.050049,3678.800049,3678.800049,503722
2023-07-21,3653.000000,3692.000000,3643.600098,3675.699951,3675.699951,369923
2023-07-24,3676.000000,3680.000000,3642.050049,3668.199951,3668.199951,197861
2023-07-25,3668.050049,3701.750000,3660.050049,3677.050049,3677.050049,237637
2023-07-26,3691.550049,3718.399902,3672.050049,3712.649902,3712.649902,182427
2023-07-27,3717.800049,3732.149902,3661.050049,3693.350098,3693.350098,286460
2023-07-28,3704.000000,3729.000000,3674.050049,3713.899902,3713.899902,219187
2023-07-31,3713.050049,3764.000000,3703.000000,3752.800049,3752.800049,276799
2023-08-01,3758.949951,3768.149902,3716.199951,3740.300049,3740.300049,212462
2023-08-02,3750.000000,3779.899902,3690.050049,3713.399902,3713.399902,206748
2023-08-03,3713.399902,3725.000000,3675.000000,3699.899902,3699.899902,168745
2023-08-04,3699.899902,3700.000000,3640.000000,3652.100098,3652.100098,482851
2023-08-07,3661.899902,3671.250000,3630.050049,3640.350098,3640.350098,340841
2023-08-08,3660.000000,3686.699951,3635.000000,3648.449951,3648.449951,269119
2023-08-09,3648.449951,3659.949951,3615.350098,3628.750000,3628.750000,257378
2023-08-10,3633.949951,3644.949951,3587.000000,3598.199951,3598.199951,381556
2023-08-11,3600.000000,3607.850098,3545.000000,3550.050049,3550.050049,740365
2023-08-14,3567.949951,3567.949951,3500.000000,3509.300049,3509.300049,244504
2023-08-16,3527.949951,3527.949951,3491.250000,3499.350098,3499.350098,321024
2023-08-17,3509.250000,3552.000000,3500.000000,3507.649902,3507.649902,805813
2023-08-18,3510.000000,3594.149902,3501.000000,3540.949951,3540.949951,570307
2023-08-21,3540.000000,3565.000000,3522.000000,3547.699951,3547.699951,319920
2023-08-22,3550.000000,3582.949951,3530.550049,3568.899902,3568.899902,258022
2023-08-23,3582.000000,3582.000000,3531.500000,3539.300049,3539.300049,341109
2023-08-24,3550.000000,3569.949951,3545.000000,3561.500000,3561.500000,352847
2023-08-25,3554.000000,3573.649902,3530.050049,3534.600098,3534.600098,254513
2023-08-28,3533.000000,3635.949951,3533.000000,3592.899902,3592.899902,619104
2023-08-29,3632.000000,3675.000000,3615.000000,3664.350098,3664.350098,615528
2023-08-30,3693.949951,3742.750000,3684.550049,3736.300049,3736.300049,440057
2023-08-31,3736.300049,3750.000000,3680.100098,3720.399902,3720.399902,672799
2023-09-01,3730.000000,3765.000000,3716.000000,3761.050049,3761.050049,361003
2023-09-04,3771.949951,3781.949951,3739.100098,3755.750000,3755.750000,145378
2023-09-05,3759.949951,3794.949951,3727.699951,3776.899902,3776.899902,232853
2023-09-06,3777.000000,3810.199951,3760.500000,3796.800049,3796.800049,224923
2023-09-07,3815.000000,3856.800049,3770.000000,3785.100098,3785.100098,443562
2023-09-08,3820.000000,3825.000000,3776.000000,3782.399902,3782.399902,155200
2023-09-11,3791.699951,3815.000000,3772.399902,3810.750000,3810.750000,170276
2023-09-12,3836.000000,3847.000000,3740.050049,3753.250000,3753.250000,289753
